Maintainers by package:
0ad                  kalev limb pcpa
erlang-egeoip        peter
erlang-eradius       bowlofeggs peter
erlang-erlsyslog     peter
erlang-erlware_commons peter
erlang-erlydtl       peter
erlang-esasl         peter
erlang-fuse          peter
erlang-gettext       peter
erlang-goldrush      bowlofeggs jcline peter
erlang-gtknode       peter
erlang-hyper         peter
erlang-idna          bowlofeggs peter
erlang-jiffy         bowlofeggs lkundrak peter
erlang-jose          jcline peter
erlang-jsx           peter
erlang-kvc           peter
erlang-mochiweb      peter
erlang-mustache      peter
erlang-neotoma       peter
erlang-oauth         peter
erlang-oauth2        jcline peter
erlang-p1_oauth2     bowlofeggs jcline peter
erlang-ranch         peter
erlang-rebar         jeckersb peter
erlang-rpm-macros    jeckersb peter
erlang-sd_notify     jeckersb peter
erlang-ssl_verify_fun peter
esh                  churchyard
esound               robert terjeros
eterm                terjeros
eventlog             czanik mrunge
exo                  kevin nonamedotc
expatpp              peter
extra-cmake-modules  cicku lkundrak
f27-backgrounds      dreua luya
f28-backgrounds      dreua luya
fakechroot           cicku corsepiu ngompa
fakeroot             lkundrak moceap ngompa
falkon               kkofler
farstream02          stefanb uraeus
fastbit              pkfed
fastlz               remi
fatcat               dcavalca
fbg2                 spot
fcgi                 kni
fcgiwrap             kni
fcitx-m17n           cheeselee yanqiyu
fcitx-qt5            cheeselee yanqiyu
fcitx5               yanqiyu
fcitx5-chewing       yanqiyu
fcitx5-chinese-addons yanqiyu
fcitx5-gtk           yanqiyu
fcitx5-hangul        yanqiyu
fcitx5-lua           yanqiyu
fcitx5-m17n          yanqiyu
fcitx5-mozc          music yanqiyu
fcitx5-qt            yanqiyu
fcitx5-rime          yanqiyu
fcitx5-unikey        yanqiyu
fedora-appstream-metadata siosm
fedora-flathub-remote otaylor
fedora-gnat-project-common rombobeorn
fedora-jam-kde-theme q5sys
fedora-third-party   otaylor
fedora-workstation-repositories mclasen
fedorainfinity-backgrounds besser82
feh                  fale mathstuf
fennel               salimma
fgrun                bellet
fido                 besser82 cdamian
figtoipe             cicku
firefox              alexl jgrulich kalev rhughes rstrode sharkcz stransky tpopela xhorak
firewalk             huzaifas
fishbowl             didiksupriadi41
five-or-more         kalev mclasen
fixedptc             dwrobel
flatpak-module-tools kalev otaylor yselkowitz
flite                peter rathann thebeanogamer
flopgen              dcavalca
floppy-support       bruno
florence             cicku kevin
flow-tools           orion stingray
fluid                lkundrak plfiorini
fluxbox              dchen
flwkey               hobbes1069
flyingsaucersattack  jwrdegoede
fmit                 dwrobel
folly-rpm-macros     salimma
fontawesome-fonts    dcavalca fale jjames mrunge pvoborni
fontsquirrel-crete-round-fonts rathann
fortune-mod          ngompa shlomif
foundation-icons-fonts xavierb
freealut             jwrdegoede limb
freecell-solver      shlomif
freecolor            dfateyev
freeradius-client    peter
freight              evgeni survient
fsverity-utils       walters
ftnchek              orion
ftplib               spot
funguloids           jwrdegoede
fuse-pingfs          mikelo2
fuzzel               alebastr atim
fwts                 benzea
fzf                  qulogic
ga                   marcindulak
gabedit              mtasaka rathann
game-music-emu       kvolny tdawson
gamescope            farchord frantisekz ngompa thunderbirdtr
ganglia              terjeros
garcon               kevin nonamedotc orion
gau2grid             jussilehtola
gbdfed               spot
gc                   pcpa praiskup robert
gcompris-qt          musuruan
gconf-editor         alexl rhughes rstrode trawets
gdlmm                dodji kalev mclasen
geany                dmaphy pingou
geany-themes         dmaphy
gearhead1            suve
gears-backgrounds    q5sys
geary                salimma thm
gecode               orphan
gedit-plugin-editorconfig ferdnyc
generic-logos        ngompa
gflags               dcavalca
ghasher              filiperosset
ghc-base-compat      mathstuf petersen
ghc-base-compat-batteries petersen
ghc-base-orphans     qulogic
ghc-base-prelude     qulogic
ghc-bower-json       petersen
ghc-call-stack       petersen
ghc-conduit          petersen
ghc-conduit-extra    petersen
ghc-cookie           petersen
ghc-doctest          qulogic
ghc-hoauth2          petersen
ghc-hslua-module-text petersen
ghc-hspec            dshea petersen
ghc-hspec-core       dshea petersen
ghc-hspec-discover   dshea petersen
ghc-http-client-openssl petersen
ghc-http-client-restricted qulogic
ghc-http-client-tls  qulogic
ghc-lens-aeson       dshea
ghc-monad-logger     petersen
ghc-protolude        petersen
ghc-relude           petersen
ghc-repline          petersen
ghc-rio              petersen
ghc-shakespeare      petersen
ghc-streaming-commons petersen
ghc-th-abstraction   qulogic
ghc-typed-process    petersen
ghc-unliftio         petersen
ghc-vector-builder   qulogic
ghc-wai-app-static   qulogic
ghc-warp-tls         qulogic
ghc-yesod            petersen
ghc-yesod-core       petersen
ghc-yesod-form       petersen
ghc-yesod-persistent petersen
ghdl                 sailer
gif2png              jonathanspw
gio-sharp            tpokorra
git-archive-all      hobbes1069
git-evtag            ignatenkobrain walters
git-extras           besser82 vascom
git-publish          stefanha
git-secret           gombosg
git-up               ekohl
gitlint              skitt
giver                spot
gkeyfile-sharp       tpokorra
glade                kalev mclasen
glew                 ajax jexposit orion tdawson
glide                orphan
glm                  muep orion
global               cheeselee landgraf
glog                 jonathanspw stevetraylen
glues                raphgro
glyph-keeper         jwrdegoede
glyphicons-halflings-fonts kni
gmime                alexl rhughes rstrode
gnat-srpm-macros     landgraf rombobeorn
gnome-bluetooth3.34  limb
gnome-builder        amigadave ignatenkobrain
gnome-desktop-sharp  laxathom tpokorra
gnome-dictionary     mclasen
gnome-js-common      salimma
gnome-keyring-sharp  salimma tpokorra
gnome-klotski        kalev mclasen
gnome-music          kalev mclasen
gnome-nettool        alexl kalev mclasen rhughes rstrode
gnome-panel          atim yselkowitz
gnome-sharp          laxathom rhughes rstrode tpokorra
gnome-subtitles      belegdol
gnome-system-log     mclasen rstrode
gnome-tetravex       kalev mclasen
gnulib               moceap
gnuplot              jkucera pcahyna
go2rpm               alexsaezm eclipseo gotmax23 mikelo2
goddard-backgrounds  q5sys
godotenv             athoscr
golang-bazil-fuse    jchaloup mikelo2
golang-bitbucket-ww-goautoneg jchaloup mikelo2
golang-etcd-bbolt    mikelo2
golang-github-a8m-tree jchaloup mikelo2
golang-github-adrg-xdg orphan
golang-github-afex-hystrix alexsaezm
golang-github-akavel-rsrc eclipseo
golang-github-alecthomas-chroma athoscr
golang-github-alecthomas-kong qulogic
golang-github-alecthomas-kong-hcl mikelo2
golang-github-alecthomas-repr felixonmars qulogic zsun
golang-github-alecthomas-units felixonmars zsun
golang-github-alexflint-filemutex mikelo2
golang-github-aliyun-oss-sdk eclipseo
golang-github-aliyun-ossutil orphan
golang-github-alyu-configparser orphan
golang-github-andreyvit-diff gotmax23
golang-github-andybalholm-brotli alexsaezm
golang-github-andybalholm-cascadia athoscr
golang-github-anmitsu-shlex jchaloup mikelo2
golang-github-antchfx-htmlquery eclipseo
golang-github-antchfx-xmlquery mikelo2
golang-github-antihax-optional mikelo2
golang-github-armon-metrics orphan
golang-github-armon-socks5 mikelo2
golang-github-asaskevich-govalidator logic
golang-github-aws-lambda mikelo2
golang-github-axgle-mahonia zsun
golang-github-aykevl-wasm qulogic
golang-github-azure-amqp mikep
golang-github-azure-amqp-common mikep
golang-github-azure-sdk jcline
golang-github-badoux-checkmail qulogic
golang-github-benbjohnson-clock nathans
golang-github-beorn7-perks jchaloup mikelo2
golang-github-bep-workers mikep
