Maintainers by package:
0ad                  kalev limb pcpa
python-stripe        orange-kao pwouters rominf rommell
python-stuf          kevin
python-subliminal    jorti
python-subprocess-tee gotmax23
python-sybil         dcavalca
python-tablib        apevec fed500
python-tasklib       ankursinha
python-tcolorpy      jonny
python-tcxparser     iztokf
python-tempdir       rathann
python-tempita       jcapitao
python-tempora       jcaratzas radez
python-termcolor     mikelo2
python-terminaltables terjeros
python-testfixtures  fab
python-textile       thm
python-tftpy         jbastian
python-tidy          terjeros
python-timeout-decorator limb
python-tinydb        petersen suanand
python-tinyrpc       amoralej jpena
python-tokenize-rt   rominf
python-tomli         churchyard encukou
python-tomlkit       churchyard gotmax23
python-towncrier     nphilipp
python-tox-current-env churchyard encukou
python-tqdm          neelc sgallagh
python-translationstring abompard
python-translitcodec jonathanspw ngompa
python-treq          ykarel
python-trml2pdf      tieugene
python-trololio      ngompa rcallicotte
python-tw2-core      ondrejj
python-tw2-forms     ondrejj
python-twiggy        kevin
python-twilio        orange-kao pwouters rominf rommell
python-twisted       eclipseo jonathanspw jsteffan romaingeissler1a
python-txaio         jujens
python-txws          kevin
python-tzlocal       ankursinha canderson9
python-u-msgpack-python churchyard
python-unipath       dreua terjeros
python-uptime        jonathanspw
python-urlgrabber    brejoc james jonathanspw mdomonko ngompa slaanesh
python-urwid-readline lbalhar rcallicotte
python-user-agents   smani
python-usort         salimma
python-utils         churchyard
python-validators    fab
python-vcrpy         kevin limb mhayden
python-vdf           atim
python-verboselogs   cottsay
python-versioneer    tdawson thunderbirdtr
python-vine          frantisekz humaton ngompa pingou
python-virtualenv    churchyard cstratak lbalhar mhayden mrunge orion
python-virtualenv-clone tadej
python-virtualenvwrapper cstratak
python-visitor       hvad
python-visvis        jskarvad
python-volatile      salimma
python-vsts          jcline
python-vsts-cd-manager jcline
python-vulture       fab
python-walkdir       kushal
python-webencodings  abompard
python-webob         ondrejj
python-webscrapbook  ferdnyc
python-webtest       ondrejj
python-whitenoise    jonathanspw ngompa
python-whois         suve
python-whoosh        abbra sgallagh
python-wikipedia     martinkg
python-winrm         orion
python-wtf-peewee    cstratak vkrizan
python-wtforms       frantisekz pingou pjp tdawson tflink
python-wurlitzer     jjames kkeithle
python-x3dh          fed500
python-xapp          leigh123linux
python-xeddsa        fed500
python-xlib          orion rcallicotte
python-xlrd          ondrejj pingou
python-xlwt          leamas
python-xml2rfc       orange-kao pwouters rominf rommell
python-xmlschema     churchyard
python-xmlsec        salimma
python-xmltodict     fab
python-xvfbwrapper   vtrefny
python-yapsy         fedepell
python-ytmusicapi    thunderbirdtr
python-zarr          qulogic
python-zeep          gsauthof
python-zxcvbn        orange-kao pwouters rominf rommell
python3-iep          cottsay
python3-lxc          thm
python3-mallard-ducktype amigadave
python3-py3dns       bojan kevin
python3-saml         tchaikov
python3-simpletal    thm
python3.6            churchyard cstratak torsava vstinner
python3.9            churchyard cstratak thrnciar torsava vstinner
pywebdav             sharkcz
pyxattr              defolos frankcrawford kevin szpak
qbs                  ngompa smani thunderbirdtr
qcad                 sagitter
qdigidoc             cserpentis germano
qevercloud           eclipseo
qhexedit2            smani
qimageblitz          kkofler than
qperf                dcavalca honli michich slaanesh
qrencode             pwouters vascom
qt                   kasal kkofler than
qt-assistant-adp     kkofler than
qt4-style-fusion     smani
qt5-doc              jgrulich
qt5-qtaccountsservice cicku jgrulich lkundrak plfiorini than
qt5-qtconfiguration  cicku jgrulich lkundrak plfiorini than
qt5-qtstyleplugins   jgrulich
qt5-qtwebengine      jgrulich kkofler
qtbrowserplugin      orion
qtchooser            than
quadrapassel         kalev mclasen
quazip               kwizart omos
quesoglc             jwrdegoede
quisk                jskarvad
qvge                 tieugene
qwtplot3d            sagitter
qxmledit             tieugene
qxtglobalshortcut    martinkg
radeontool           airlied
radius-engine        spot
ragel                ignatenkobrain jtaylor
raidem               bruno laxathom
raidem-music         laxathom
ramond               ppisar
raptor2              marcdeop
rb_libtorrent        fale mooninite
rclone-browser       eclipseo
rcm                  linkdupont
rcssmonitor          hedayat
rcssserver           hedayat
recorder             ddd
reflections          didiksupriadi41
renderdoc            kb1000
reprepro             ktdreyer ngompa
reproc               orion
reptyr               mrc0mmand till
rescene              konradm
rest0.7              kalev mclasen teuf
restool              pbrobinson
restsharp            tpokorra
rhash                orion
rhino                didiksupriadi41
rhythmbox            alexl amigadave dwmw2 rhughes rstrode snirkel
rinutils             shlomif
rmlint               suve
robin-map            hobbes1069 trix
roca-detect          sdgathman
rocksdb              dcavalca jonny kkeithle peter
rocm-runtime         mystro256 tstellar
rocminfo             mystro256 tstellar
rofi                 defolos
rofimoji             mhayden
rpcsvc-proto         steved
rply                 peter
rsyntaxtextarea      jvanek
rtaudio              hobbes1069
rtklib               vascom
rtl-wmbus            dwrobel
rtmidi               muep
rtorrent             dfateyev konradm verdurin
rttr                 kwizart
rubygem-ansi         stevetraylen
rubygem-cookiejar    pvalena vondruch
rubygem-curb         stevetraylen vondruch
rubygem-haml         pvalena vondruch
rubygem-hashery      pvalena vondruch
rubygem-hitimes      pvalena vondruch
rubygem-http_parser.rb vondruch
rubygem-idn          spstarr tdawson
rubygem-launchy      lkundrak tdawson vondruch
rubygem-macaddr      valtri
rubygem-minitest5    mtasaka
rubygem-narray       besser82
rubygem-ncursesw     dcallagh
rubygem-open4        tdawson vondruch
rubygem-rchardet     stevetraylen
rubygem-rmail        dcallagh
rubygem-scanf        brandfbb ekohl
rubygem-systemu      orphan stevetraylen
rubygem-unicode      dcallagh
rubygem-uuid         valtri
rubygem-xmlrpc       jackorp pvalena
rubygems             mtasaka vondruch
rundoc               leamas
rusers               pkubat steved
rust-ar              asn
rust-crc-any         limb orion
rust-debug-helper    limb orion
rust-libm            decathorpe
rust-lipsum          dcavalca
rust-rpick           bowlofeggs
rust-size            asn
rwall                pkubat
rwho                 pkubat
safetyblanket        mystro256
salt-lint            rcallicotte
samtools             jaruga verdurin
sassc                kalev ngompa tdawson
scanssh              moceap
schroedinger         kwizart
scorched3d           bruno jwrdegoede
scorchwentbonkers    jwrdegoede
scotch               smani
scribus-generator    luya
scrot                vtrefny
scummvm              chkr
scummvm-tools        chkr
sdl-decnumber        dcavalca
sdl12-compat         ignatenkobrain ngompa
sdlhack              filiperosset
sdljava              jwrdegoede mizdebsk mkoncek
sdrpp                hobbes1069
sen                  ttomecek
serd                 nphilipp tartina
sfxr                 jwrdegoede
sha                  echevemaster
sha2                 fale jonathanspw
shairplay            melmorabity
shairport-sync       bpeck
sharpfont            aekoroglu
sharpziplib          tpokorra
shrinkpdf            raphgro
shunit2              hushan
shutter              martinkg
sigil                sharkcz
silkscreen-fonts     spot
sip                  than
sj-fonts             slankes tdawson
sjasm                jwrdegoede
skf                  mtasaka
skkdic               mtasaka
slashem              iarnell yselkowitz
slibtool             ngompa
slic3r               churchyard
slowloris            jonathanspw
smcalc               moceap
smokegen             than
sms_ntsc             dtimms
sndfile-tools        tartina
snes_ntsc            dtimms
snip                 leamas
snotes               jjelen
soapy-rtlsdr         hobbes1069
sockperf             kheib michich
solar-kde-theme      q5sys than
soprano              marcdeop than
sord                 nphilipp tartina
sourcextractor++     aalvarez
sox                  heffer jkucera mavit
sparsehash           jgrulich than
spatialindex         cottsay
spectrographic       suve
spice                alexl elmarco jforbes jwrdegoede teuf victortoso
sqliteman            terjeros
sqliteodbc           dwrobel
squeak-image         jskarvad
squeak-vm            jskarvad
squirrel             sharkcz
sratom               nphilipp tartina
srmio                vascom
sshexport            besser82
sslscan              bytehackr rebus
sslsplit             pwouters
staden-io_lib        c4chris
stargz-snapshotter   ktock lsm5
statsd               dcavalca
stk                  thm
stoken               slaanesh tdawson
subversion-api-docs  bojan
sugar-deducto        chimosky
sugar-dimensions     chimosky
sugar-record         chimosky
sugar-toolkit-gtk3   aperezbios chimosky
sugar-turtleart      chimosky
suil                 nphilipp tartina
superlu_dist         fuller loveshack orion sagitter
surf                 ngompa
svg2svgt             smani
svn2cl               lbazan
svt-vp9              vascom
swappy               ngompa wef
swayidle             onemorebyte
sweeper              than
swing-layout         jandrlik java-sig pmikova
switchtec            dcavalca salimma
sxhkd                pidgornyy
sylfilter            aarem
symbian-m-yuppy-gb-fonts aekoroglu
sysconftool          rathann
sysreporter          nb
system-switch-java   jvanek omajid pmikova
systemd-bootchart    dreua fale
sysutil              jonathanspw
t-prot               eseyman
t1lib                jamatos jskarvad terjeros
t1utils              jamatos robert
taglib-sharp         spot tpokorra
tagsoup              jvanek mizdebsk mkoncek
tali                 kalev mclasen
tango-icon-theme-extras cottsay
tarantool            aekoroglu
taskd                ankursinha
tasksh               ankursinha
tcl-ezsmtp           dcavalca
tcl-html             jskarvad
tcl-mysqltcl         renep
tcl-pgtcl            fjanus pkubat praiskup
tcl-tclnagios        wart
tcl-tcludp           spot
tcl-tclvfs           spot
tcl-thread           vascom
tcl-tileqt           spot
tcl-tkpng            spot
tcl-tktreectrl       spot
tcltls               tjikkun
tclx                 jskarvad
tcp_wrappers         jjelen orion pbiering
tcpcrypt             pwouters
tcptrack             jonathanspw rebus
tcputils             limb
tdom                 krege
teem                 music
teeworlds            ignatenkobrain limb lkundrak
tegrarcm             jkastner kwizart
telepathy-gabble     aperezbios
telepathy-mission-control chimosky
telepathy-salut      chimosky
terminology          cicku dchen konradm spot
test-drive           jussilehtola
texlive              jnovy spot than
texlive-base         spot than
textcat              besser82
thc-ipv6             neil robert
thibault-fonts       aekoroglu
thttpd               sdgathman
thunar-archive-plugin nonamedotc
tilda                hannes laxathom
timew                ankursinha ignatenkobrain
tini                 dcavalca
tinycompress         perex
tinydir              besser82
tinyexr              dherrera
tinyows              neil
tinyxml              cottsay hobbes1069 jkastner ktdreyer rathann thofmann
tinyxpath            mooninite
tipcutils            hanecak
tipl                 jonathanspw
tkdnd                tjikkun
tklib                krege
tktray               krege
tldr                 dreua lbalhar mikelo2
tlomt-league-gothic-fonts aekoroglu
tlomt-sniglet-fonts  spot
tmate                asn tonyskapunk
tmt                  bajertom lecris lzachar mhlavink mvadkert psss
tng                  junghans rathann
tntnet               martinkg
tokodon              thunderbirdtr
tolua++              jonathanspw jwrdegoede moceap
tomboy               alexl rhughes thm
tomsfastmath         tkorbar
toolshed             linville
totem                alexl kalev mclasen rhughes rstrode teuf
totem-pl-parser      kalev mclasen
trellis              lkundrak somlo
tremulous-data       limb
triehash             dminer ngompa
trilead-ssh2         mbooth
trousers             dcavalca ignatenkobrain salimma
trustedqsl           hobbes1069
tsl-sparse-map       dcavalca salimma
ttcp                 msekleta
ttf2pt1              goeran
tty-copy             churchyard
tulrich-tuffy-fonts  kevin
tumbler              kevin nonamedotc
twa                  suve
tweak                gbailey
twitter-twemoji-fonts mavit
typetype-molot-fonts fonts-sig luya
tytools              dcavalca
uARMSolver           iztokf
uClibc               jchaloup nforro vda
uberftp              ellert matyas stevetraylen
ubloxcfg             abulimov dcavalca leoleovich pcullen pmazzini salimma vfedorenko yarek
uboot-tools          ausil pbrobinson sharkcz
ucpp                 rathann
udunits2             orion spot
uflash               churchyard kushal
umr                  mystro256
unar                 peter
unclutter-xfixes     rharwood
unifrakturmaguntia-fonts jujens
unique               rhughes
unique3              rhughes
unittest-cpp         hobbes1069 raphgro sharkcz
unshield             peter
unzoo                linville
upslug2              jwrdegoede
uredir               alciregi
urlwatch             fedepell
ursa-major           cqi julian8628
usnic-tools          honli
ustr                 james
utox                 eclipseo
uvw                  pemensik
uwsgi                ertzing
vacation             bubeck
vagrant-digitalocean kushal
vboot-utils          eballetbo javierm pbrobinson
vdpauinfo            kwizart
vdr-epg-daemon       martinkg
vdr-live             martinkg
vdrsymbol-fonts      martinkg
vecmath1.2           jwrdegoede
vemana2000-fonts     aekoroglu
verne-kde-theme      q5sys than
vex                  lbalhar
vigra                bpostle
vim-ale              mhjacks praiskup
vim-commentary       vondruch
vim-ctrlp            osoukup
vim-gitgutter        atim
vim-go               jchaloup nforro
vim-gtk-syntax       amigadave
vim-gv               atim
vim-javabrowser      phracek
vim-nerdtree         cn137 rcallicotte
vim-pathogen         atim
vim-rhubarb          praiskup
vim-syntastic        mhjacks
vim-taglist          phracek
vim-trailing-whitespace atim
vimiv                ankursinha
virtualpg            smani
vit                  ankursinha
vkd3d                mooninite
vlfrx-tools          jskarvad
vmmlib               jskarvad
vmod-uuid            ingvar
vmtouch              cheeselee
vorbisgain           cbm
vtable-dumper        hobbes1069 orion
vttest               thomas-dickey
w3c-markup-validator gnat jmakey
waf                  salimma thm
waffle               ajax
wafw00f              fedepell
waifu2x-converter-cpp eclipseo
warmux               bruno
warsow-data          limb
warzone2100          limb
wayfire              atim
wayfire-config-manager atim
waylandpp            melmorabity
wayvnc               ngompa wef
webkitgtk            catanzaro
websocketpp          c72578 ngompa
webvfx               martinkg
wemux                cicku gbailey
wf-config            atim
wf-shell             atim
wgctrl               eclipseo
whichwayisup         musuruan
wide-dhcpv6          bevhost
wl-gammactl          ngompa wef
wlogout              ngompa wef
wlr-sunclock         ngompa wef
wmname               psabata
wmx                  somlo
wob                  ngompa wef
woodardworks-laconic-fonts spot
wordwarvi            jwrdegoede
wp-cli               jonathanspw
wpan-tools           pbrobinson
wqy-bitmap-fonts     fangq
wtype                mhayden
wvdial               jskarvad msekleta thozza
wvs-data             mtasaka
x11docker            dcavalca
xar                  cicku dcavalca moceap
xbacklight           salimma
xbanish              dcavalca
xbar                 dcavalca
xbg                  dcavalca
xblas                spot
xca                  monnerat pwouters
xcalc                stevetraylen
xcb-imdkit           yanqiyu
xcb-util-xrm         thm
xcompmgr             dcavalca
xdaliclock           pwouters
xdotool              ofourdan orion slankes
xe-guest-utilities-latest cheeselee
xedit                pcpa
xen                  jforbes myoung
xev                  ajax
xfce4-diskperf-plugin aekoroglu nonamedotc
xfce4-fsguard-plugin nonamedotc
xfce4-genmon-plugin  nonamedotc
xfce4-mpc-plugin     nonamedotc
xfce4-panel          kevin nonamedotc
xfce4-screensaver    aekoroglu nonamedotc
xfce4-systemload-plugin nonamedotc
xfce4-vala           kevin raphgro
xfce4-wavelan-plugin nonamedotc
xfce4-weather-plugin nonamedotc
xfce4-xkb-plugin     nonamedotc
xfig                 aarem jwrdegoede stevetraylen
xfoil                smani
xfwm4-themes         kevin nonamedotc
xkbset               till
xkeycaps             spot
xloadimage           spot
xlockmore            adrian mcermak
xlsatoms             ajax
xlsclients           ajax
xlsfonts             aekoroglu ajax
xmbdfed              spot
xmedcon              ankursinha
xmlpull              didiksupriadi41 sbluhm
xmlrpc-c             jonathanspw
xmlrpc-epi           spstarr
xmlstreambuffer      didiksupriadi41 mkoncek
xorg-x11-drv-amdgpu  rathann slaanesh
xorg-x11-drv-armada  lkundrak
xorg-x11-drv-ati     airlied ajax alexl ofourdan rhughes rstrode spot whot
xorg-x11-drv-intel   ajax jexposit ofourdan
xorg-x11-drv-nouveau airlied ajax lyude
xorg-x11-drv-openchrome xavierb
xorg-x11-drv-qxl     airlied elmarco jexposit jwrdegoede teuf victortoso
xorg-x11-xdm         alissonbruno
xorgxrdp             bojan proski
xorsearch            rebus
xpa                  sergiopr
xqc                  mgieseki
xrdp                 bojan proski
xrefresh             dcavalca
xrestrict            rathann
xrotor               smani
xscreensaver         dchen jonathanspw lkundrak mtasaka
xsd                  fed500 sagitter tdawson
xsettingsd           dcavalca tdawson
xskat                chkr
xsp                  tpokorra
xss-lock             sham1
xssstate             psabata
xstdcmap             dcavalca
xstream              didiksupriadi41 mizdebsk mkoncek sbluhm
xtensor              sergesanspaille
xtensor-python       sergesanspaille
xterm-console        adamwill
xtide                mtasaka
xvinfo               ajax
xwm                  dcavalca
xwud                 aekoroglu ajax ofourdan
yapet                cicku gbailey
yaru-theme           atim
yelp                 alexl amigadave rhughes rstrode stransky xhorak
ykclient             nb orion wzzrd
ykpers               kevin nb wzzrd
yosys                lkundrak somlo
youtube-dl           davidsch till
yubikey-personalization-gui kevin wzzrd
yubikey-val          nb
zaz                  musuruan
zfp                  kkeithle orion
zipios++             hobbes1069
znc-push             luk1337
zola                 orphan
zsh-autosuggestions  suraia
zsh-syntax-highlighting suraia

Packages by maintainer:
aalvarez   elements elements-alexandria sourcextractor++
aarem      battray oclock python-PyPDF2 python-more-itertools sylfilter xfig
abbra      ecj python-github3py python-whoosh
abo        autossh
abompard   python-backoff python-blessed python-celery python-cov-core python-jsonref python-paste python-plaster python-plaster-pastedeploy python-pylibmc python-pylons-sphinx-themes python-pyramid-fas-openid python-translationstring python-webencodings
abulimov   disciplining-minipod ubloxcfg
acaringi   kernel
aconole    Simple-Fuzzer dpdk lldpd
adamwill   python-PyRSS2Gen python-httpbin python-mimerender python-mwclient python-pytest-httpbin xterm-console
adetiste   innoextract
adrian     id3lib xlockmore
aekoroglu  alef-fonts apanov-heuristica-fonts asdcplib chisholm-to-be-continued-fonts cppcodec ctan-cm-lgc-fonts ctan-kerkis-fonts intel-compute-runtime intel-igc intel-mediasdk intel-opencl-clang ipmctl json-parser jwm labiryntowy-fonts lector libmikmod libsafec mikmod mplus-fonts ncdc nodejs-backbone ns-bola-fonts ns-tiza-chalk-fonts polari pothana2000-fonts pyflakes python-bottle python-django-angular python-django-authority python-django-compressor python-django-cors-headers python-django-debug-toolbar python-django-js-asset python-django-mptt python-django-pglocks python-django-pipeline python-django-pytest python-django-reversion python-django-rq python-django-storages python-django-tables2 python-django-tagging python-django-taggit python-django-taggit-serializer python-django-tastypie python-django-timezone-field python-djangoql python-flake8 python-httptools python-ifaddr python-jsmin python-libdiscid python-mailer python-marathon python-parse_type python-pycec python-pycodestyle python-pytest-httpserver python-pywt python-sqlacodegen sharpfont symbian-m-yuppy-gb-fonts tarantool thibault-fonts tlomt-league-gothic-fonts vemana2000-fonts xfce4-diskperf-plugin xfce4-screensaver xlsfonts xwud
agk        dt
agoode     mlton
ahughes    java-latest-openjdk java-latest-openjdk-portable
airlied    kernel radeontool xorg-x11-drv-ati xorg-x11-drv-nouveau xorg-x11-drv-qxl
airwave    c++-gtk-utils
ajax       cdparanoia coan dxpc glew kernel libFS libXfont libXvMC libXxf86dga libXxf86misc libgle liboil libupnp luit waffle xev xlsatoms xlsclients xlsfonts xorg-x11-drv-ati xorg-x11-drv-intel xorg-x11-drv-nouveau xvinfo xwud
alciregi   bwping dicomanonymizer http_ping libuev ophcrack python-parsimonious uredir
aleasto    koko kongress kreport
alebastr   fuzzel python-i3ipc
alexl      dbus-sharp echo-icon-theme firefox gconf-editor gmime gnome-nettool gtk2 libFS libXfont libXvMC libXxf86dga libXxf86misc libart_lgpl libbonobo libbonoboui libglade2 libgnome libgnomecanvas libgpod liboil libwnck rhythmbox spice tomboy totem xorg-x11-drv-ati yelp
alexlan    pilot-link
alexsaezm  go2rpm golang-github-afex-hystrix golang-github-andybalholm-brotli golang-github-bgentry-speakeasy golang-github-bugsnag golang-github-bugsnag-panicwrap golang-github-cactus-statsd-client golang-github-cilium-ebpf golang-github-cockroachdb-sentry golang-github-creack-pty golang-github-d2g-dhcp4 golang-github-datadog golang-github-dgrijalva-jwt golang-github-dnaeon-vcr golang-github-edsrzf-mmap golang-github-emicklei-restful golang-github-errors golang-github-fernet golang-github-form3tech-oss-jwt golang-github-frankban-quicktest golang-github-gin-gonic golang-github-globalsign-mgo golang-github-gofrs-uuid golang-github-gorilla-schema golang-github-grpc-ecosystem-gateway golang-github-hashicorp-hclog golang-github-hudl-fargo golang-github-hydrogen18-memlistener golang-github-iancoleman-strcase golang-github-jmhodges-clock golang-github-jmoiron-sqlx golang-github-jwt-4 golang-github-kit golang-github-kit-log golang-github-knetic-govaluate golang-github-kr-pretty golang-github-kr-text golang-github-logfmt golang-github-martini golang-github-mitchellh-copystructure golang-github-mitchellh-reflectwalk golang-github-mohae-deepcopy golang-github-morikuni-aec golang-github-ncw-swift golang-github-performancecopilot-speed golang-github-pingcap-errors golang-github-playground-validator-10 golang-github-posener-complete golang-github-puerkitobio-purell golang-github-puerkitobio-urlesc golang-github-rcrowley-metrics golang-github-revel golang-github-revel-log15 golang-github-revel-pathtree golang-github-rogpeppe-fastuuid golang-github-rs-cors golang-github-shopify-logrus-bugsnag golang-github-shopify-sarama golang-github-shopspring-decimal golang-github-shurcool-httpfs golang-github-shurcool-httpgzip golang-github-shurcool-vfsgen golang-github-sirupsen-logrus golang-github-smartystreets-goconvey golang-github-sony-gobreaker golang-github-stathat golang-github-stoewer-strcase golang-github-streadway-handy golang-github-theupdateframework-notary golang-github-tinylib-msgp golang-github-tmc-grpc-websocket-proxy golang-github-tomasen-realip golang-github-ttacon-chalk golang-github-twinj-uuid golang-github-uber-tally golang-github-ugorji golang-github-urfave-cli golang-github-urfave-negroni golang-github-valyala-bytebufferpool golang-github-valyala-fasttemplate golang-github-vividcortex-gohistogram golang-github-xeonx-timeago golang-github-xiang90-probing golang-github-xlab-treeprint golang-github-yvasiyarov-gorelic golang-github-yvasiyarov-newrelic-platform golang-github-zookeeper-zk golang-gonum-1 golang-gopkg-cheggaaa-pb-1 golang-gopkg-gcfg-1 golang-gopkg-natefinch-lumberjack-2 golang-gopkg-readline-1 golang-gopkg-redis-6 golang-gopkg-russross-blackfriday-1 golang-gopkg-russross-blackfriday-2 golang-mvdan-xurls golang-starlark golang-x-arch golang-x-debug golang-x-image golang-x-lint golang-x-term golang-x-xerrors
alissonbruno xorg-x11-xdm
allhailwesttexas python-eventlet
amigadave  clutter-gst3 gnome-builder id3lib libmp4v2 mallard-rng mingw-id3lib python3-mallard-ducktype rhythmbox vim-gtk-syntax yelp
amoralej   python-tinyrpc
androniychuk intel-compute-runtime intel-igc intel-opencl-clang
andyli     ocaml-sedlex ocaml-sha
anezbeda   docbook-slides docbook5-style-xsl nss_nis
ankursinha python-niapy python-nibabel python-piexif python-pyscaffold python-pytest-lazy-fixture python-rosinstall_generator python-rstcheck python-sphinxemoji python-spyking-circus python-tasklib python-tzlocal taskd tasksh timew vimiv vit xmedcon
aperezbios sugar-toolkit-gtk3 telepathy-gabble
apevec     python-marathon python-memcached python-tablib
aquini     mongoose
aradchen   nodejs-packaging
asn        libtermkey libvterm lua-bit32 lua-bitop lua-lpeg lua-mpack luajit nodejs-bash-language-server rust-ar rust-size tmate
astra      bugzilla python-click-threading
athoscr    douceur godotenv golang-github-alecthomas-chroma golang-github-andybalholm-cascadia golang-github-dlclark-regexp2 golang-github-eknkc-amber golang-github-fortytw2-leaktest golang-github-gobuffalo-envy golang-github-gobwas-glob golang-github-gorilla-css golang-github-kyokomi-emoji golang-github-montanaflynn-stats python-booleanoperations python-firehose python-fontMath
atim       corectrl corsix-th daggy fuzzel gnome-panel kakoune libretro-gw libretro-handy libretro-pcsx-rearmed mangohud polybar python-gevent-eventemitter python-pyotp python-vdf vim-gitgutter vim-gv vim-pathogen vim-trailing-whitespace wayfire wayfire-config-manager wf-config wf-shell yaru-theme
ausil      cm_rgb uboot-tools
aviso      python-blessed python-sphinx-argparse python-sphinxcontrib-spelling
bajertom   tmt
bboozzoo   golang-github-snapcore-gettext
bcl        python-coveralls python-sphinx-argparse
belegdol   SOIL gnome-subtitles mednafen python-sphinxcontrib-svg2pdfconverter
bellet     fgrun
bentiss    libFS libXfont libXvMC libXxf86dga libXxf86misc
benzea     fwts libusb-compat-0.1 libusb1
berrange   libvirt-python
besser82   2048-cli GarminPlugin arpack arprec cc1541 cc65 fedorainfinity-backgrounds fido git-extras libjoedog liblinear libpqxx python-ase python-django-angular python-jcconv python-sphinx-bootstrap-theme rubygem-narray sshexport textcat tinydir
bevhost    wide-dhcpv6
bfields    nfs-utils
blinxen    python-owl_rl
blowry     golang-github-vincent-petithory-dataurl lgogdownloader
bmeneguele cwm
bochecha   python-arpy
bojan      grimmer-proggy-squaresz-fonts grimmer-proggy-tinysz-fonts libspf2 python-pyspf python3-py3dns subversion-api-docs xorgxrdp xrdp
bookwar    minetest
bowlofeggs erlang-base64url erlang-eradius erlang-goldrush erlang-idna erlang-jiffy erlang-p1_oauth2 js-jquery-mousewheel js-responsive-elements python-kaptan rust-rpick
bpeck      shairport-sync
bpostle    enblend vigra
brandfbb   rubygem-scanf
brejoc     python-urlgrabber
bruno      0ad-data ballz blobwars cegui06 dahdi-tools enet floppy-support joystick-support libwfut lordsawar nethack-vultures ois raidem scorched3d warmux
bubeck     vacation
bugant     hiredis
bytehackr  pinpoint python-fuckit sslscan
c4chris    nfswatch staden-io_lib
c72578     cpprest mingw-windows-default-manifest poedit websocketpp
caleb      lua-argparse
canderson9 python-autopep8 python-feedparser python-geojson python-scp python-tzlocal
carlosrodrifernandez libdnet
catanzaro  webkitgtk
cbm        octave-interval vorbisgain
cdamian    fido libjoedog
chapien    mygui
chedi      python-click-completion
cheese     lolcat
cheeselee  docparser dpkg fcitx-m17n fcitx-qt5 global golang-github-fogleman-gg kmid2 libmpris-qt5 ocaml-base64 vmtouch xe-guest-utilities-latest
cheimes    python-black
chimosky   gstreamer-plugins-espeak maliit-framework pybox2d sugar-deducto sugar-dimensions sugar-record sugar-toolkit-gtk3 sugar-turtleart telepathy-mission-control telepathy-salut
chkr       libgpod lua-ldap scummvm scummvm-tools xskat
churchyard 3dprinter-udev-rules act admeshgui ampy auditwheel doge esh libarcus lmfit playitagainsam poly2tri pypy python-black python-elementpath python-html5lib python-jaraco-path python-more-itertools python-pigpio python-pycodestyle python-pytest-expect python-pytest-freezegun python-pytest-subprocess python-requests-download python-scripttest python-sphinx-click python-tomli python-tomlkit python-tox-current-env python-u-msgpack-python python-utils python-virtualenv python-xmlschema python3.6 python3.9 slic3r tty-copy uflash
cicku      blackbox darkhttpd dmenu dropbear enlightenment extra-cmake-modules fakechroot figtoipe florence hiredis hxtools i3lock ldc libqtxdg libupnp libzdb lnav mimetic mirmon mpqc ncdc netatalk pgpdump prwd python-redis qt5-qtaccountsservice qt5-qtconfiguration terminology wemux xar yapet
clalance   oz
cleber     python-avocado
cn137      awesome-vim-colorschemes python-pytest-ordering vim-nerdtree
corsepiu   fakechroot povray
costello   classified-ads
cottsay    nanomsg octomap ois openelp openni poly2tri python-bitstring python-capturer python-catkin_lint python-coloredlogs python-distlib python-filelock python-flake8-polyfill python-flock python-humanfriendly python-modestmaps python-multi_key_dict python-pyzolib python-rosinstall_generator python-verboselogs python3-iep spatialindex tango-icon-theme-extras tinyxml
cqi        ursa-major
cra        perl-Term-ShellUI
crisdel    pyee
crobinso   libcacard
cserpentis libdigidocpp open-eid qdigidoc
cstratak   ephemeral-port-reserve python-distlib python-jaraco-envs python-pytest-cov python-sphinx-last-updated-by-git python-virtualenv python-virtualenvwrapper python-wtf-peewee python3.6 python3.9
cverna     TurboGears2 koji-containerbuild osbs-client python-dockerfile-parse python-repoze-tm2 python-repoze-who python-repoze-who-plugins-sa
czanik     eventlog ivykis
dagostinelli prestopalette
danfruehauf audacious-plugins
daveo      gqrx
davidsch   python-animatplot python-gelidum youtube-dl
daxelrod   nginx-mod-vts
dcallagh   python-pymacaroons-pynacl rubygem-ncursesw rubygem-rmail rubygem-unicode
